timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742817529742,159,Vote,201,,Grupo de Usuários 1-1,text,true,,273,267,34,34,http://localhost:8080/v1/vote/1,159,0,5
1742817529752,156,Vote,201,,Grupo de Usuários 1-4,text,true,,273,267,34,34,http://localhost:8080/v1/vote/1,156,0,1
1742817529745,165,Vote,201,,Grupo de Usuários 1-2,text,true,,273,267,35,35,http://localhost:8080/v1/vote/1,164,0,2
1742817529756,154,Vote,201,,Grupo de Usuários 1-5,text,true,,273,267,35,35,http://localhost:8080/v1/vote/1,153,0,2
1742817529783,125,Vote,201,,Grupo de Usuários 1-10,text,true,,273,267,34,34,http://localhost:8080/v1/vote/1,125,0,1
1742817529761,149,Vote,201,,Grupo de Usuários 1-6,text,true,,273,267,35,35,http://localhost:8080/v1/vote/1,149,0,3
1742817529767,143,Vote,201,,Grupo de Usuários 1-7,text,true,,273,267,35,35,http://localhost:8080/v1/vote/1,142,0,4
1742817529745,165,Vote,201,,Grupo de Usuários 1-3,text,true,,273,267,34,34,http://localhost:8080/v1/vote/1,165,0,2
1742817529777,140,Vote,201,,Grupo de Usuários 1-9,text,true,,273,267,29,29,http://localhost:8080/v1/vote/1,139,0,2
1742817529772,145,Vote,201,,Grupo de Usuários 1-8,text,true,,273,267,29,29,http://localhost:8080/v1/vote/1,144,0,2
1742817529821,214,Vote,201,,Grupo de Usuários 1-18,text,true,,273,267,51,51,http://localhost:8080/v1/vote/1,214,0,3
1742817529800,239,Vote,201,,Grupo de Usuários 1-13,text,true,,273,267,51,51,http://localhost:8080/v1/vote/1,239,0,4
1742817529787,252,Vote,201,,Grupo de Usuários 1-11,text,true,,273,267,51,51,http://localhost:8080/v1/vote/1,251,0,1
1742817529802,237,Vote,201,,Grupo de Usuários 1-14,text,true,,273,267,51,51,http://localhost:8080/v1/vote/1,237,0,2
1742817529791,249,Vote,201,,Grupo de Usuários 1-12,text,true,,273,267,48,48,http://localhost:8080/v1/vote/1,248,0,6
1742817529807,233,Vote,201,,Grupo de Usuários 1-15,text,true,,273,267,48,48,http://localhost:8080/v1/vote/1,231,0,3
1742817529812,228,Vote,201,,Grupo de Usuários 1-16,text,true,,273,267,48,48,http://localhost:8080/v1/vote/1,226,0,2
1742817529816,227,Vote,201,,Grupo de Usuários 1-17,text,true,,273,267,45,45,http://localhost:8080/v1/vote/1,227,0,1
1742817529826,229,Vote,201,,Grupo de Usuários 1-19,text,true,,273,267,47,47,http://localhost:8080/v1/vote/1,226,0,2
1742817529831,224,Vote,201,,Grupo de Usuários 1-20,text,true,,273,267,47,47,http://localhost:8080/v1/vote/1,223,0,2
1742817529836,321,Vote,201,,Grupo de Usuários 1-21,text,true,,273,267,65,65,http://localhost:8080/v1/vote/1,320,0,2
1742817529870,300,Vote,201,,Grupo de Usuários 1-28,text,true,,273,267,67,67,http://localhost:8080/v1/vote/1,300,0,2
1742817529861,309,Vote,201,,Grupo de Usuários 1-26,text,true,,273,267,67,67,http://localhost:8080/v1/vote/1,309,0,2
1742817529866,305,Vote,201,,Grupo de Usuários 1-27,text,true,,273,267,67,67,http://localhost:8080/v1/vote/1,304,0,3
1742817529852,320,Vote,201,,Grupo de Usuários 1-24,text,true,,273,267,64,64,http://localhost:8080/v1/vote/1,319,0,2
1742817529846,327,Vote,201,,Grupo de Usuários 1-23,text,true,,273,267,63,63,http://localhost:8080/v1/vote/1,327,0,2
1742817529842,331,Vote,201,,Grupo de Usuários 1-22,text,true,,273,267,63,63,http://localhost:8080/v1/vote/1,331,0,3
1742817529857,316,Vote,201,,Grupo de Usuários 1-25,text,true,,273,267,63,63,http://localhost:8080/v1/vote/1,316,0,2
1742817529876,302,Vote,201,,Grupo de Usuários 1-29,text,true,,273,267,61,61,http://localhost:8080/v1/vote/1,301,0,2
1742817529882,296,Vote,201,,Grupo de Usuários 1-30,text,true,,273,267,61,61,http://localhost:8080/v1/vote/1,295,0,2
1742817529886,371,Vote,201,,Grupo de Usuários 1-31,text,true,,273,267,75,75,http://localhost:8080/v1/vote/1,371,0,2
1742817529889,380,Vote,201,,Grupo de Usuários 1-32,text,true,,273,267,77,77,http://localhost:8080/v1/vote/1,380,0,2
1742817529916,360,Vote,201,,Grupo de Usuários 1-37,text,true,,273,267,77,77,http://localhost:8080/v1/vote/1,360,0,3
1742817529930,346,Vote,201,,Grupo de Usuários 1-40,text,true,,273,267,77,77,http://localhost:8080/v1/vote/1,346,0,1
1742817529919,357,Vote,201,,Grupo de Usuários 1-38,text,true,,273,267,77,77,http://localhost:8080/v1/vote/1,357,0,1
1742817529925,351,Vote,201,,Grupo de Usuários 1-39,text,true,,273,267,77,77,http://localhost:8080/v1/vote/1,351,0,2
1742817529900,377,Vote,201,,Grupo de Usuários 1-34,text,true,,273,267,77,77,http://localhost:8080/v1/vote/1,376,0,2
1742817529906,371,Vote,201,,Grupo de Usuários 1-35,text,true,,273,267,77,77,http://localhost:8080/v1/vote/1,370,0,2
1742817529894,384,Vote,201,,Grupo de Usuários 1-33,text,true,,273,267,72,72,http://localhost:8080/v1/vote/1,384,0,2
1742817529911,367,Vote,201,,Grupo de Usuários 1-36,text,true,,273,267,71,71,http://localhost:8080/v1/vote/1,367,0,2
1742817529935,462,Vote,201,,Grupo de Usuários 1-41,text,true,,273,267,93,93,http://localhost:8080/v1/vote/1,462,0,1
1742817529940,475,Vote,201,,Grupo de Usuários 1-42,text,true,,273,267,96,96,http://localhost:8080/v1/vote/1,475,0,2
1742817529974,451,Vote,201,,Grupo de Usuários 1-49,text,true,,273,267,97,97,http://localhost:8080/v1/vote/1,450,0,2
1742817529971,461,Vote,201,,Grupo de Usuários 1-48,text,true,,273,267,97,97,http://localhost:8080/v1/vote/1,460,0,2
1742817529959,473,Vote,201,,Grupo de Usuários 1-46,text,true,,273,267,97,97,http://localhost:8080/v1/vote/1,472,0,2
1742817529955,481,Vote,201,,Grupo de Usuários 1-45,text,true,,273,267,96,96,http://localhost:8080/v1/vote/1,476,0,1
1742817529947,491,Vote,201,,Grupo de Usuários 1-43,text,true,,273,267,95,95,http://localhost:8080/v1/vote/1,491,0,2
1742817529965,473,Vote,201,,Grupo de Usuários 1-47,text,true,,273,267,95,95,http://localhost:8080/v1/vote/1,473,0,2
1742817529981,468,Vote,201,,Grupo de Usuários 1-50,text,true,,273,267,95,95,http://localhost:8080/v1/vote/1,467,0,1
1742817529949,508,Vote,201,,Grupo de Usuários 1-44,text,true,,273,267,96,96,http://localhost:8080/v1/vote/1,507,0,3
